Company ,Car Name,Engine,CC,HP (Horsepower),Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
,818.0,,2500.0,204.0,145.0,10.2,60000.0,,7.0,310.0
,818.0,,1395.0,170.0,210.0,8.6,28000.0,,5.0,250.0
,818.0,,1968.0,272.0,220.0,7.8,35000.0,,5.0,320.0
,818.0,,2500.0,68.0,160.0,11.9,150000.0,,2.0,140.0
,818.0,,1968.0,272.0,220.0,8.0,28000.0,,5.0,350.0
,818.0,,2500.0,272.0,220.0,8.5,30000.0,,5.0,280.0
,818.0,,1984.0,300.0,240.0,6.7,30000.0,,5.0,320.0
,818.0,,1395.0,170.0,210.0,8.6,28000.0,,5.0,250.0
,818.0,,2500.0,299.0,180.0,6.2,45000.0,,5.0,310.0
,818.0,,1984.0,272.0,250.0,5.6,50000.0,,5.0,420.0
,818.0,,1498.0,130.0,220.0,8.8,30000.0,,5.0,200.0
,818.0,,1984.0,220.0,246.0,6.5,35000.0,,4.0,350.0
,818.0,,1968.0,272.0,180.0,12.0,25000.0,,7.0,250.0
,818.0,,1199.0,61.0,165.0,14.5,20000.0,,4.0,140.0
,818.0,,999.0,95.0,187.0,9.5,22000.0,,5.0,175.0
,818.0,,1395.0,215.0,210.0,7.4,32000.0,,5.0,330.0
,818.0,,1984.0,290.0,250.0,5.6,40000.0,,5.0,370.0
,818.0,,1984.0,272.0,250.0,4.9,45000.0,,5.0,420.0
